time,obs
12237,173.64
12236,173.57
12236,172.92
12235,171.24
12235,169.53
12235,168.58
12234,168.35
12234,168.07
12233,167.78
12233,167.15
12232,167.42
12232,166.9
12231,166.69
12231,166.98
12230,167.87
12230,168.47
12229,168.17
12229,167.68
12228,166.79
12228,166.08
12228,165.89
12227,165.84
12227,165.73
12226,165.38
12226,165.02
12225,165.05
12225,165.26
12224,164.98
12224,164.93
12223,165.93
12223,167.11
12222,167.88
12222,168.54
12222,169.1
12221,170.01
12221,170.56
12220,170.47
12220,170.79
12219,171.2
12219,170.26
12218,169.54
12218,169.02
12217,168.12
12217,167.89
12216,167.57
12216,167.29
12215,167.93
12215,168.15
12215,168.41
12214,169.2
12214,169.61
12213,169.36
12213,169.42
12212,169.45
12212,169.51
12211,169.02
12211,168.48
12210,168.03
12210,167.92
12209,167.84
12209,167.57
12209,167.83
12208,168.49
12208,169.01
12207,169.05
12207,169
12206,168.91
12206,169.05
12205,169.26
12205,169.54
12204,170.15
12204,170.65
12203,170.98
12203,171.49
12202,171.6
12202,171.28
12202,170.95
12201,170.01
12201,169.17
12200,168.34
12200,167.89
12199,167.72
12199,167.58
12198,167.5
12198,168.1
12197,168.55
12197,169.24
12196,169.99
12196,170.98
12195,171.18
12195,171.13
12195,170.76
12194,170.33
12194,170.11
12193,170.01
12193,170.37
12192,170.57
12192,170.39
12191,170.57
12191,171.04
12190,170.98
12190,170.85
12189,170.79
12189,170.73
12189,170.75
12188,170.85
12188,170.8
12187,170.34
12187,170.44
12186,170.74
12186,170.51
12185,169.56
12185,169.3
12184,169.61
12184,170.08
12183,170.34
12183,171.11
12182,171.74
12182,172.06
12182,172.03
12181,172.94
12181,174.08
12180,174.12
12180,174.52
12179,174.44
12179,174.12
12178,173.41
12178,172.28
12177,172.26
12177,172.74
12176,172.31
12176,173.16
12176,173.82
12175,173.76
12175,173.97
12174,174.37
12174,174.86
12173,175.19
12173,175.51
12172,175.83
12172,175.45
12171,174.85
12171,175.11
12170,174.79
12170,174.36
12169,174.19
12169,173.94
12169,173.73
12168,173.51
12168,173.73
12167,174.93
12167,175.37
12166,175.25
12166,175.46
12165,175.57
12165,175.69
12164,175.96
12164,176.48
12163,177.3
12163,177.19
12163,177.44
12162,177.88
12162,178.37
12161,179.34
12161,179.49
12160,179.2
12160,178.44
12159,177.93
12159,177.51
12158,177.29
12158,176.94
12157,176.59
12157,176.46
12156,175.9
12156,174.66
12156,174.42
12155,174.69
12155,174.76
12154,174.55
12154,175
12153,174.42
12153,173.96
12152,173.45
12152,172.89
12151,172.04
12151,171.62
12150,171.57
12150,171.11
12149,169.18
12149,166.9
12149,166.8
12148,166.78
12148,166.77
12147,167.02
12147,167.99
12146,169.42
12146,170.77
12145,170.52
12145,170.58
12144,170.31
12144,171.02
12143,172.36
12143,172.91
12143,172.2
12142,170.79
12142,170.18
12141,170.33
12141,170.97
12140,171.39
12140,172.35
12139,173.46
12139,174.99
12138,175.42
12138,175.69
12137,176.24
12137,176.12
12136,175.36
12136,174.82
12136,174.36
12135,173.73
12135,172.93
12134,172.56
12134,173.22
12133,174.35
12133,174.99
12132,175.57
12132,175.88
12131,175.85
12131,176.38
12130,176.74
12130,176.27
12130,175.57
12129,175.12
12129,174.87
12128,174.98
12128,174.97
12127,175.57
12127,176.16
12126,175.59
